intervention,ire_mae,ire_rmse,num_nonzero_true,num_windows,pred_change_abs_mean,response_corr,response_slope,sign_accuracy_on_nonzero_true,true_change_abs_mean
cause_last_shift_plus_delta,0.6530014276504517,0.7874115705490112,1905,1905,1.5379080772399902,0.9633414948894905,0.8232260346412659,0.8986876640419947,1.7431809902191162
cause_shift_plus_delta,1.4024910926818848,1.6189011335372925,1905,1905,0.4178398847579956,0.7748717781486432,0.20372779667377472,0.8393700787401575,1.7431809902191162
cause_zero,0.5710434913635254,0.678177535533905,1905,1905,0.4073145389556885,0.7762802758749541,0.4052271544933319,0.8393700787401575,0.8704174160957336
cause_flip,1.4725236892700195,1.685562252998352,1905,1905,0.3726840913295746,0.7244719679482471,0.16558384895324707,0.7811023622047244,1.7408325672149658
cause_flip_x5,1.2140170335769653,1.410638451576233,1905,1905,0.40635913610458374,0.4103660775278279,0.13631100952625275,0.6808398950131234,1.277471899986267
distractors_last_shift_plus_delta,0.15251311659812927,0.2076737880706787,0,1905,0.15251311659812927,nan,nan,nan,0.0
distractors_shift_plus_delta,0.07055845111608505,0.08969556540250778,0,1905,0.07055845111608505,nan,nan,nan,0.0
target_zero,0.5620592832565308,0.6665087938308716,0,1905,0.5620592832565308,nan,nan,nan,0.0
target_shift_plus_delta,5.023821830749512,5.056375026702881,0,1905,5.023821830749512,nan,nan,nan,0.0
