intervention,ire_mae,ire_rmse,num_nonzero_true,num_windows,pred_change_abs_mean,response_corr,response_slope,sign_accuracy_on_nonzero_true,true_change_abs_mean
cause_last_shift_plus_delta,0.7266317009925842,0.7860719561576843,1905,1905,4.273811340332031,nan,0.8546964526176453,1.0,5.000384330749512
cause_shift_plus_delta,4.9988861083984375,5.089141368865967,1905,1905,0.8163450956344604,nan,0.0002996634575538337,0.5086614173228347,5.000384330749512
cause_zero,1.6374483108520508,1.8897796869277954,1905,1905,0.9016712307929993,-0.7100591667559844,-0.7441087365150452,0.19370078740157481,0.8542916774749756
cause_flip,2.4633023738861084,2.8470404148101807,1905,1905,0.8946253061294556,-0.7387411367469029,-0.38363468647003174,0.1795275590551181,1.7085833549499512
cause_flip_x5,5.901692867279053,6.853027820587158,1905,1905,0.9453148245811462,-0.7640181330338731,-0.13909852504730225,0.16535433070866143,5.1257500648498535
distractors_last_shift_plus_delta,0.19171084463596344,0.22259186208248138,0,1905,0.19171084463596344,nan,nan,nan,0.0
distractors_shift_plus_delta,0.02618866041302681,0.04335910454392433,0,1905,0.02618866041302681,nan,nan,nan,0.0
target_zero,0.3384357988834381,0.41347214579582214,0,1905,0.3384357988834381,nan,nan,nan,0.0
target_shift_plus_delta,4.967286586761475,5.067769527435303,0,1905,4.967286586761475,nan,nan,nan,0.0
