delta,expected_mean,pred_mean,pred_abs_mean,response_ratio,ire_mae,ire_rmse,response_slope,response_corr,num_windows
-5.0,-5.000384441036948,-0.010352017357945442,0.050867609679698944,0.002070244294216448,4.990032196044922,4.99039363861084,0.002070243936032057,nan,1905
-4.0,-4.000307552829558,-0.014170128852128983,0.04571797698736191,0.0035422598550218847,3.9861373901367188,3.9865000247955322,0.0035422604996711016,nan,1905
-3.0,-3.000230664622169,-0.01904253289103508,0.03985007107257843,0.006347022952461284,2.9811880588531494,2.981563091278076,0.006347023881971836,nan,1905
-2.0,-2.000153776414779,-0.02683788351714611,0.03670922666788101,0.013417910079520127,1.9733158349990845,1.973748803138733,0.01341791171580553,nan,1905
-1.0,-1.0000768882073896,-0.02071521244943142,0.022604551166296005,0.020713619816335193,0.9793616533279419,0.9795835614204407,0.020713623613119125,nan,1905
-0.5,-0.5000384441036948,-0.011582604609429836,0.012694311328232288,0.023163428224386502,0.4884558320045471,0.48859232664108276,0.023163432255387306,nan,1905
0.5,0.5000384441036948,0.011349569074809551,0.012332954443991184,0.022697392987759857,0.4886888563632965,0.48884934186935425,0.02269740030169487,nan,1905
1.0,1.0000768882073896,0.017034199088811874,0.020258186385035515,0.017032889460474595,0.9830426573753357,0.9832674860954285,0.017032895237207413,nan,1905
2.0,2.000153776414779,0.02468859776854515,0.0358763188123703,0.012343349826231254,1.975465178489685,1.9759501218795776,0.012343352660536766,nan,1905
3.0,3.000230664622169,0.02087225578725338,0.042391009628772736,0.00695688369343492,2.979358434677124,2.9798312187194824,0.006956885103136301,nan,1905
4.0,4.000307552829558,0.010131609626114368,0.04727711156010628,0.0025327076711759134,3.99017596244812,3.9905965328216553,0.0025327082257717848,nan,1905
5.0,5.000384441036948,0.0009406477911397815,0.05172143876552582,0.0001881150943955653,4.999444007873535,4.999841213226318,0.00018811509653460234,nan,1905
