delta,expected_mean,pred_mean,pred_abs_mean,response_ratio,ire_mae,ire_rmse,response_slope,response_corr,num_windows
-5.0,-4.785552483505698,-4.528806686401367,4.528806686401367,0.9463498106040519,0.5071457624435425,0.8102419376373291,0.9463497400283813,nan,2689
-4.0,-3.8284419868045583,-3.6726205348968506,3.6726205348968506,0.959298990961656,0.4035959243774414,0.6179872751235962,0.9592989683151245,nan,2689
-3.0,-2.871331490103419,-2.724949598312378,2.725004196166992,0.9490195080938675,0.33441996574401855,0.4789098799228668,0.9490194916725159,nan,2689
-2.0,-1.9142209934022791,-1.7162753343582153,1.7165590524673462,0.8965920550833365,0.2824438512325287,0.37062445282936096,0.8965921401977539,nan,2689
-1.0,-0.9571104967011396,-0.7462194561958313,0.746553361415863,0.7796586274707218,0.2171681672334671,0.25445878505706787,0.7796586155891418,nan,2689
-0.5,-0.4785552483505698,-0.34174856543540955,0.34189918637275696,0.714125624185107,0.13725276291370392,0.15528953075408936,0.7141257524490356,nan,2689
0.5,0.4785552483505698,0.34470129013061523,0.3447405993938446,0.720295705289395,0.13437135517597198,0.15279576182365417,0.720295786857605,nan,2689
1.0,0.9571104967011396,0.7549321055412292,0.7551629543304443,0.7887617032132068,0.21382156014442444,0.25590384006500244,0.7887617349624634,nan,2689
2.0,1.9142209934022791,1.737794280052185,1.7380001544952393,0.9078336754438585,0.2885046899318695,0.38727980852127075,0.9078336954116821,nan,2689
3.0,2.871331490103419,2.7741899490356445,2.7741899490356445,0.966168468739123,0.33448106050491333,0.47600552439689636,0.9661685228347778,nan,2689
4.0,3.8284419868045583,3.754506826400757,3.754506826400757,0.980687924576464,0.38381481170654297,0.5815987586975098,0.9806878566741943,nan,2689
5.0,4.785552483505698,4.639884948730469,4.639884948730469,0.9695609785333461,0.4609258770942688,0.7434492111206055,0.9695608615875244,nan,2689
