delta,expected_mean,pred_mean,pred_abs_mean,response_ratio,ire_mae,ire_rmse,response_slope,response_corr,num_windows
-5.0,-3.2981061935424805,-3.1052191257476807,3.1063859462738037,0.9415158104452602,0.28514423966407776,0.5682515501976013,0.9415158629417419,nan,1905
-4.0,-2.6384847164154053,-2.653622627258301,2.654186487197876,1.0057373502104123,0.13775064051151276,0.26375389099121094,1.0057374238967896,-0.04291440527140863,1905
-3.0,-1.97886323928833,-1.985546350479126,1.9856735467910767,1.0033772476329388,0.10574745386838913,0.15768158435821533,1.003377079963684,-0.036648428032516646,1905
-2.0,-1.3192423582077026,-1.263187050819397,1.263187050819397,0.957509469704671,0.10164514929056168,0.12407281994819641,0.9575095772743225,0.07935275635572944,1905
-1.0,-0.6596211791038513,-0.5591436624526978,0.5591436624526978,0.8476739076394418,0.10886969417333603,0.12729713320732117,0.8476739525794983,0.05971752826559202,1905
-0.5,-0.32981058955192566,-0.2506773769855499,0.2506773769855499,0.7600646702281919,0.08052100986242294,0.0890016034245491,0.7600646615028381,0.02342842261070048,1905
0.5,0.32981058955192566,0.2569325864315033,0.2569325864315033,0.7790307363404159,0.07323802262544632,0.08099479228258133,0.7790307402610779,0.01233884926565878,1905
1.0,0.6596211791038513,0.5565168857574463,0.5565168857574463,0.8436916572532123,0.10404064506292343,0.1173962727189064,0.8436916470527649,0.0420779711978574,1905
2.0,1.3192423582077026,1.187387228012085,1.187387228012085,0.9000523828125458,0.1360233724117279,0.1580212414264679,0.9000523686408997,0.008970777656087075,1905
3.0,1.97886323928833,1.839046835899353,1.839046835899353,0.9293450903462839,0.1577477902173996,0.1874004602432251,0.929344892501831,-0.015546359571641568,1905
4.0,2.6384847164154053,2.4468088150024414,2.4489564895629883,0.9273537950701601,0.21697957813739777,0.33725425601005554,0.9273537993431091,0.015362550473931248,1905
5.0,3.2981061935424805,2.8466835021972656,2.8508975505828857,0.8631266960933287,0.4619523882865906,0.6946435570716858,0.8631268739700317,nan,1905
