model,delta,expected_mean,pred_mean,response_ratio,ire_mae,ire_rmse,response_slope,response_corr,sign_accuracy_on_nonzero_true,causal_gain_scaled,num_windows,num_batches,num_test_windows,pred_abs_mean
iTransformer,-5.0,-5.000384440110203,0.0003050037608371945,-6.0996062300856324e-05,5.0006894009006935,5.000860941297955,-6.099608071963303e-05,nan,0.5233595800524934,1.0000768880220405,1905,30,1905,0.030597932132210317
iTransformer,-4.0,-4.000307552088162,0.0030457005022078987,-0.0007613665855811616,4.003353265076485,4.003554591536508,-0.0007613667985424399,nan,0.48556430446194226,1.0000768880220405,1905,30,1905,0.029545953455246653
iTransformer,-3.0,-3.0002306640661214,0.007191732385027127,-0.0023970598231538606,3.0074223155424664,3.007653433645454,-0.0023970601614564657,nan,0.4241469816272966,1.0000768880220405,1905,30,1905,0.027816186708415274
iTransformer,-2.0,-2.000153776044081,0.01499790249690609,-0.007498374713252824,2.015151669159336,2.0154034576150655,-0.0074983760714530945,nan,0.2803149606299213,1.0000768880220405,1905,30,1905,0.02728395117862331
iTransformer,-1.0,-1.0000768880220405,0.022676037052484947,-0.022674293670893426,1.0227529350541082,1.0230019123967782,-0.02267429791390896,nan,0.12860892388451445,1.0000768880220405,1905,30,1905,0.0264201561609904
iTransformer,-0.5,-0.5000384440110203,0.014922101916916414,-0.029841909348449113,0.514960546818931,0.5150710417646691,-0.029841914772987366,nan,0.05406824146981627,1.0000768880220405,1905,30,1905,0.015840835396073307
iTransformer,0.5,0.5000384440110203,-0.0126502234478948,-0.02529850174402991,0.5126886723235523,0.5127927837253341,-0.025298506021499634,nan,0.08398950131233596,1.0000768880220405,1905,30,1905,0.014152024205275409
iTransformer,1.0,1.0000768880220405,-0.0169804799900906,-0.0169791744949478,1.0170573637554339,1.0173066037996867,-0.016979176551103592,nan,0.1973753280839895,1.0000768880220405,1905,30,1905,0.023595073780049804
iTransformer,2.0,2.000153776044081,-0.009017388706445069,-0.004508347715284035,2.009171185030399,2.0094698807785782,-0.004508348647505045,nan,0.34330708661417325,1.0000768880220405,1905,30,1905,0.028278072424760953
iTransformer,3.0,3.0002306640661214,-0.0010100948372538008,-0.0003366723930102261,3.001240663703658,3.001500099241067,-0.000336672441335395,nan,0.4587926509186352,1.0000768880220405,1905,30,1905,0.02995747224552425
iTransformer,4.0,4.000307552088162,0.0035195988854711136,0.0008798320728199715,3.996787932788919,3.997005525243863,0.000879832252394408,nan,0.521259842519685,1.0000768880220405,1905,30,1905,0.031489289902013745
iTransformer,5.0,5.000384440110203,0.0065184602352577874,0.001303591816455242,4.99386592674756,4.99404813460291,0.0013035916490480304,nan,0.5538057742782152,1.0000768880220405,1905,30,1905,0.03236145109642209
iTransformer_FT_PREDONLY,-5.0,-5.000384440110203,-0.003049709845402735,0.0006098950754545431,4.997334605940371,4.99783271495783,0.0006098950398154557,nan,0.5186351706036746,1.0000768880220405,1905,30,1905,0.05768115964774385
iTransformer_FT_PREDONLY,-4.0,-4.000307552088162,0.0005606459742143085,-0.00014015071764211006,4.000868149003957,4.00142314755009,-0.0001401507033733651,nan,0.5086614173228347,1.0000768880220405,1905,30,1905,0.05416644902366979
iTransformer_FT_PREDONLY,-3.0,-3.0002306640661214,0.006526844418580763,-0.0021754475403351586,3.0067574168127664,3.0073292563110714,-0.002175447763875127,nan,0.48241469816272964,1.0000768880220405,1905,30,1905,0.047017786571672895
iTransformer_FT_PREDONLY,-2.0,-2.000153776044081,0.01640668894675147,-0.0082027137829376,2.0165604919273394,2.017038694857908,-0.00820271484553814,nan,0.36010498687664044,1.0000768880220405,1905,30,1905,0.036279889354555624
iTransformer_FT_PREDONLY,-1.0,-1.0000768880220405,0.026771406833268212,-0.026769348591003737,1.0268482999225927,1.0270949358387165,-0.026769351214170456,nan,0.11443569553805774,1.0000768880220405,1905,30,1905,0.029606977973397324
iTransformer_FT_PREDONLY,-0.5,-0.5000384440110203,0.01858836199667823,-0.037173865768345936,0.518626804301745,0.5187107993107533,-0.03717387095093727,nan,0.027296587926509186,1.0000768880220405,1905,30,1905,0.018910435647789263
iTransformer_FT_PREDONLY,0.5,0.5000384440110203,-0.015773748725730917,-0.03154507201326961,0.51581219650629,0.5159416506196106,-0.03154507651925087,nan,0.08083989501312336,1.0000768880220405,1905,30,1905,0.017232543871471575
iTransformer_FT_PREDONLY,1.0,1.0000768880220405,-0.019961150299532833,-0.019959615644165263,1.0200380440459165,1.0204208025158985,-0.019959619268774986,nan,0.2230971128608924,1.0000768880220405,1905,30,1905,0.02865580192075314
iTransformer_FT_PREDONLY,2.0,2.000153776044081,-0.008302945422688182,-0.004151153537359417,2.0084566932337804,2.00911516805844,-0.004151154309511185,nan,0.431496062992126,1.0000768880220405,1905,30,1905,0.04247479113381053
iTransformer_FT_PREDONLY,3.0,3.0002306640661214,0.002457765683414429,0.0008191922417336719,2.997772769477424,2.998456075411696,0.0008191923843696713,nan,0.5133858267716536,1.0000768880220405,1905,30,1905,0.052704907840318255
iTransformer_FT_PREDONLY,4.0,4.000307552088162,0.009326136331232826,0.002331354829546688,3.9909814148750207,3.991603374668683,0.0023313553538173437,nan,0.5454068241469816,1.0000768880220405,1905,30,1905,0.058569967089675545
iTransformer_FT_PREDONLY,5.0,5.000384440110203,0.01380647599227785,0.002761082904252372,4.986577832479802,4.987121734468718,0.0027610829565674067,nan,0.5553805774278215,1.0000768880220405,1905,30,1905,0.06159892482707507
iTransformer_CRR_FT01_RESPONLY,-5.0,-5.000384440110203,-4.276543060062439,0.8552428540810731,0.7490873121526923,0.86300483778351,0.8552427887916565,nan,1.0,1.0000768880220405,1905,30,1905,4.276543060062439
iTransformer_CRR_FT01_RESPONLY,-4.0,-4.000307552088162,-3.9963169688627787,0.9990024308947695,0.33552432022695466,0.43090369002232803,0.9990026354789734,nan,1.0,1.0000768880220405,1905,30,1905,3.9963169688627787
