delta,expected_mean,pred_mean,pred_abs_mean,response_ratio,ire_mae,ire_rmse,response_slope,response_corr,num_windows
-5.0,0.17578692734241486,-0.0691530704498291,0.07808363437652588,-0.3933914284486356,1.7236740589141846,1.976304292678833,0.006083400454372168,0.28642969874179314,1905
-4.0,-0.7351320385932922,-0.06910739839076996,0.07312752306461334,0.09400678349294915,1.7138144969940186,1.9589035511016846,0.018995758146047592,0.294715788064072,1905
-3.0,-1.3432585000991821,-0.06191481649875641,0.06357681751251221,0.04609300182666613,1.6460936069488525,1.892475962638855,0.025937683880329132,0.3207645004266698,1905
-2.0,-1.399593472480774,-0.04705015569925308,0.04753697291016579,0.03361701567231295,1.4116625785827637,1.570906639099121,0.02701304480433464,0.2643114166782199,1905
-1.0,-0.8810704350471497,-0.025333279743790627,0.025722898542881012,0.02875284283308739,0.8573216795921326,0.9039308428764343,0.026659613475203514,0.19699805800160408,1905
-0.5,-0.4652183949947357,-0.012550954706966877,0.013257739134132862,0.026978629482415244,0.4527656137943268,0.46884220838546753,0.025784138590097427,0.13292829320461935,1905
0.5,0.4656781256198883,0.012651611119508743,0.013134507462382317,0.027168145599855108,0.4542406499385834,0.46898937225341797,0.02608446404337883,0.15275115019014132,1905
1.0,0.8828610777854919,0.024617277085781097,0.02526160143315792,0.027883522906604268,0.865051805973053,0.9056344628334045,0.02601984143257141,0.20697868461137459,1905
2.0,1.4060230255126953,0.04440687969326973,0.04610814154148102,0.03158332323688448,1.430085301399231,1.5764166116714478,0.025849075987935066,0.2672760156254855,1905
3.0,1.3552757501602173,0.059559453278779984,0.06290904432535172,0.04394637273760636,1.6389961242675781,1.9006073474884033,0.024581892415881157,0.2346150292896561,1905
4.0,0.7513977289199829,0.06764481216669083,0.07434072345495224,0.09002530825308681,1.690911054611206,1.964658498764038,0.018167657777667046,0.22423946173430495,1905
5.0,-0.15835130214691162,0.06934817880392075,0.08154237270355225,-0.4379387972419857,1.737499713897705,1.980407953262329,0.0035985473077744246,0.18909951829606308,1905
