model,curve_slope_from_means,curve_corr_from_means,curve_ire_mae_mean,curve_response_ratio_mean,num_delta_points,causal_gain_scaled
iTransformer,-0.022033273630032123,-0.9844053180478272,0.4736698439519387,-0.027257219795883275,8,1.0000768880220405
iTransformer_CRR_FT01,1.4768869452845168,0.9999531785074659,0.23040260499692522,1.4955064766325439,8,1.0000768880220405
PatchTST,0.0,nan,0.46253556199371815,0.0,8,1.0000768880220405
Crossformer,4.139095764255277e-05,0.9399808614076165,0.46251646464224905,4.1141936790628866e-05,8,1.0000768880220405
TimeMixer,0.0,nan,0.46253556199371815,0.0,8,1.0000768880220405
