intervention,ire_mae,ire_rmse,num_nonzero_true,num_windows,pred_change_abs_mean,response_corr,response_slope,sign_accuracy_on_nonzero_true,true_change_abs_mean
cause_last_shift_plus_delta,0.8417771458625793,1.066913366317749,1905,1905,4.167102336883545,nan,0.8333331346511841,0.9994750656167979,5.000384330749512
cause_shift_plus_delta,5.989015102386475,6.2266998291015625,1905,1905,1.7023357152938843,nan,-0.1977110654115677,0.28766404199475065,5.000384330749512
cause_zero,2.1004180908203125,2.4369399547576904,1905,1905,1.6631666421890259,-0.36505727695730555,-0.6030136346817017,0.36010498687664044,0.8542916774749756
cause_flip,2.3184659481048584,2.6915009021759033,1905,1905,1.3267583847045898,-0.08444480460221704,-0.059500206261873245,0.3963254593175853,1.7085833549499512
cause_flip_x5,5.704662322998047,6.737095832824707,1905,1905,1.8009796142578125,-0.2561783691777345,-0.07332339137792587,0.4015748031496063,5.1257500648498535
distractors_last_shift_plus_delta,0.08240076899528503,0.1099853441119194,0,1905,0.08240076899528503,nan,nan,nan,0.0
distractors_shift_plus_delta,0.020860064774751663,0.026858294382691383,0,1905,0.020860064774751663,nan,nan,nan,0.0
target_zero,0.3280065059661865,0.3960605561733246,0,1905,0.3280065059661865,nan,nan,nan,0.0
target_shift_plus_delta,4.013452053070068,4.365577220916748,0,1905,4.013452053070068,nan,nan,nan,0.0
