delta,expected_mean,pred_mean,pred_abs_mean,response_ratio,ire_mae,ire_rmse,response_slope,response_corr,num_windows
-5.0,-4.7856189052943146,-4.625791549682617,4.625791549682617,0.9666025735072885,0.46012985706329346,0.752538800239563,0.966602623462677,nan,2785
-4.0,-3.8284951242354515,-3.707486391067505,3.707486391067505,0.9683926113939842,0.39003393054008484,0.581341564655304,0.968392550945282,nan,2785
-3.0,-2.8713713431765884,-2.7094566822052,2.7094566822052,0.9436106857595568,0.3486374318599701,0.4692041873931885,0.943610668182373,nan,2785
-2.0,-1.9142475621177257,-1.6711169481277466,1.6711169481277466,0.8729889389431926,0.32136213779449463,0.3928444981575012,0.8729888796806335,nan,2785
-1.0,-0.9571237810588629,-0.7041012048721313,0.7041012048721313,0.735642786028351,0.25789061188697815,0.28631094098091125,0.7356427311897278,nan,2785
-0.5,-0.47856189052943143,-0.31515568494796753,0.3151618242263794,0.6585473920610599,0.16344426572322845,0.17618554830551147,0.6585474610328674,nan,2785
0.5,0.47856189052943143,0.31396570801734924,0.314015656709671,0.6560608235436591,0.16465862095355988,0.17760106921195984,0.6560608744621277,nan,2785
1.0,0.9571237810588629,0.697197437286377,0.6976189613342285,0.728429750763344,0.26461073756217957,0.29661667346954346,0.7284297943115234,nan,2785
2.0,1.9142475621177257,1.636989951133728,1.6378334760665894,0.8551610478859545,0.339651495218277,0.42401954531669617,0.8551611304283142,nan,2785
3.0,2.8713713431765884,2.641101121902466,2.6414103507995605,0.9198047922915552,0.3583221733570099,0.49718788266181946,0.9198048710823059,nan,2785
4.0,3.8284951242354515,3.6053926944732666,3.6056630611419678,0.9417258158826209,0.3875129222869873,0.5954532027244568,0.9417258501052856,nan,2785
5.0,4.7856189052943146,4.492312908172607,4.4925537109375,0.9387109582007829,0.4584450423717499,0.7597038149833679,0.9387110471725464,nan,2785
