delta,expected,duet_baseline,duet_rir
-5.0,-5.000384441036948,-0.010352017357945442,-4.3914361000061035
-4.0,-4.000307552829558,-0.014170128852128983,-3.902679920196533
-3.0,-3.000230664622169,-0.01904253289103508,-2.707504987716675
-2.0,-2.000153776414779,-0.02683788351714611,-1.8684661388397217
-1.0,-1.0000768882073896,-0.02071521244943142,-0.9423616528511047
-0.5,-0.5000384441036948,-0.011582604609429836,-0.41445672512054443
0.5,0.5000384441036948,0.011349569074809551,0.33158519864082336
1.0,1.0000768882073896,0.017034199088811874,0.8353888392448425
2.0,2.000153776414779,0.02468859776854515,2.0080063343048096
3.0,3.000230664622169,0.02087225578725338,3.0034828186035156
4.0,4.000307552829558,0.010131609626114368,3.7434608936309814
5.0,5.000384441036948,0.0009406477911397815,4.333044528961182
