model,intervention,target_mae,target_mse,all_mae,all_mse,mpd_target_mean,mpd_target_std,rmsd_target,mpd_all_mean,rmsd_all,input_mpd_mean,normalized_target_sensitivity,csr_cause_shift_over_distractor_shift,target_zero_over_cause_shift,num_batches,num_test_windows,num_target_points
DLinear,cause_shift_plus_delta,0.6220453324071795,0.5454476477488653,0.5991480129925165,0.6581465992694924,0.0,0.0,0.0,0.20564519736546605,0.9431677892681383,0.23809523809523808,0.0,0.0,562089312963.0769,30,1905,182880
DLinear,cause_zero,0.6220453324071795,0.5454476477488653,0.5991480129925165,0.6581465992694924,0.0,0.0,0.0,0.026772855022760826,0.14542824495333195,0.040683636520125736,0.0,0.0,562089312963.0769,30,1905,182880
DLinear,cause_flip,0.6220453324071795,0.5454476477488653,0.5991480129925165,0.6581465992694924,0.0,0.0,0.0,0.05354571029980302,0.2908564890324136,0.08136727304025147,0.0,0.0,562089312963.0769,30,1905,182880
DLinear,cause_flip_x5,0.6220453324071795,0.5454476477488653,0.5991480129925165,0.6581465992694924,0.0,0.0,0.0,0.16063713191653453,0.8725694735084095,0.24410181403512712,0.0,0.0,562089312963.0769,30,1905,182880
DLinear,distractors_shift_plus_delta,0.6220453324071795,0.5454476477488653,0.5991480129925165,0.6581465992694924,0.0,0.0,0.0,3.9072585327875684,4.11117295627249,4.523809523809524,0.0,0.0,562089312963.0769,30,1905,182880
DLinear,noncause_1to7_shift_plus_delta,0.6220453324071795,0.5454476477488653,0.5991480129925165,0.6581465992694924,0.0,0.0,0.0,1.4395163413818064,2.4953873917767413,1.6666666666666667,0.0,0.0,562089312963.0769,30,1905,182880
DLinear,target_zero,0.6220453324071795,0.5454476477488653,0.5991480129925165,0.6581465992694924,0.5620893129630768,0.3580134990032569,0.6664218342880572,0.02676615782371686,0.14542516712267436,0.04069754494799478,13.811381341737674,0.0,562089312963.0769,30,1905,182880
DLinear,target_shift_plus_delta,0.6220453324071795,0.5454476477488653,0.5991480129925165,0.6581465992694924,4.318549155354604,0.17609158343866074,4.322137787365402,0.2056451983825915,0.9431677903465524,0.23809523809523808,18.13790645241316,0.0,562089312963.0769,30,1905,182880
PatchTST,cause_shift_plus_delta,0.427234453416559,0.2960328396641155,0.28345347212457817,0.1751237712005563,0.0,0.0,0.0,0.2380952574206219,1.0910895481298897,0.23809523809523808,0.0,0.0,730165069393.1814,30,1905,182880
PatchTST,cause_zero,0.427234453416559,0.2960328396641155,0.28345347212457817,0.1751237712005563,0.0,0.0,0.0,0.034793591373181214,0.18528877705609853,0.040683636520125736,0.0,0.0,730165069393.1814,30,1905,182880
PatchTST,cause_flip,0.427234453416559,0.2960328396641155,0.28345347212457817,0.1751237712005563,0.0,0.0,0.0,0.06952302704919047,0.3699647607359345,0.08136727304025147,0.0,0.0,730165069393.1814,30,1905,182880
PatchTST,cause_flip_x5,0.427234453416559,0.2960328396641155,0.28345347212457817,0.1751237712005563,0.0,0.0,0.0,0.20861993538649465,1.1105215105363864,0.24410181403512712,0.0,0.0,730165069393.1814,30,1905,182880
PatchTST,distractors_shift_plus_delta,0.427234453416559,0.2960328396641155,0.28345347212457817,0.1751237712005563,0.0,0.0,0.0,4.523809531946528,4.755948875053281,4.523809523809524,0.0,0.0,730165069393.1814,30,1905,182880
PatchTST,noncause_1to7_shift_plus_delta,0.427234453416559,0.2960328396641155,0.28345347212457817,0.1751237712005563,0.0,0.0,0.0,1.6666666992146815,2.886751486885164,1.6666666666666667,0.0,0.0,730165069393.1814,30,1905,182880
PatchTST,target_zero,0.427234453416559,0.2960328396641155,0.28345347212457817,0.1751237712005563,0.7301650693931814,0.43302024281004403,0.8489096296103719,0.03476976520919911,0.1852472676882635,0.04069754494799478,17.941255923625835,0.0,730165069393.1814,30,1905,182880
PatchTST,target_shift_plus_delta,0.427234453416559,0.2960328396641155,0.28345347212457817,0.1751237712005563,5.0000004699119645,0.0005845972389779791,5.000000504087354,0.2380952604719983,1.0910895667741056,0.23809523809523808,21.00000197354205,0.0,730165069393.1814,30,1905,182880
iTransformer,cause_shift_plus_delta,0.19086812403988443,0.06081177794088529,0.3720442100092306,0.3244419317376995,2.1796075061732807e-06,6.71137848509031e-06,7.056436072912445e-06,0.23809589464972478,1.0910894371967985,0.23809523809523808,9.15435152588933e-06,0.37383949039782327,385685.6859557705,30,1905,182880
iTransformer,cause_zero,0.19086812403988443,0.06081177794088529,0.3720442100092306,0.3244419317376995,0.05618050626152352,0.055965307044541224,0.07929921107041897,0.05204422447784034,0.21413685704252886,0.040683636520125736,1.3809116162059591,0.37383949039782327,385685.6859557705,30,1905,182880
iTransformer,cause_flip,0.19086812403988443,0.06081177794088529,0.3720442100092306,0.3244419317376995,0.053260979022462435,0.053315342746680434,0.07536084964109145,0.10445255800341038,0.4224633640223989,0.08136727304025147,0.6545749541767272,0.37383949039782327,385685.6859557705,30,1905,182880
iTransformer,cause_flip_x5,0.19086812403988443,0.06081177794088529,0.3720442100092306,0.3244419317376995,0.053261106179037954,0.053315435986841915,0.07536100547286902,0.2667819736033972,1.2633309564328765,0.24410181403512712,0.2181921768559872,0.37383949039782327,385685.6859557705,30,1905,182880
iTransformer,distractors_shift_plus_delta,0.19086812403988443,0.06081177794088529,0.3720442100092306,0.3244419317376995,5.830328759581685e-06,1.1440692697200371e-05,1.284064573285079e-05,4.523810191043828,4.755948895584209,4.523809523809524,1.2888095152756666e-06,0.37383949039782327,385685.6859557705,30,1905,182880
iTransformer,noncause_1to7_shift_plus_delta,0.19086812403988443,0.06081177794088529,0.3720442100092306,0.3244419317376995,3.4352801764613687e-06,8.790109709510303e-06,9.437540918905504e-06,1.666668660232575,2.8867515094350886,1.6666666666666667,2.0611681058755844e-06,0.37383949039782327,385685.6859557705,30,1905,182880
