intervention,ire_mae,ire_rmse,num_nonzero_true,num_windows,pred_change_abs_mean,response_corr,response_slope,sign_accuracy_on_nonzero_true,true_change_abs_mean
cause_last_shift_plus_delta,3.222635269165039,3.2273709774017334,1905,1905,0.14748205244541168,nan,0.022883044555783272,0.7139107611548556,3.2981061935424805
cause_shift_plus_delta,3.313138246536255,3.32366681098938,1905,1905,0.1991681307554245,nan,-0.004557879641652107,0.42992125984251967,3.2981061935424805
cause_zero,0.6345734000205994,0.7591047883033752,1905,1905,0.194534033536911,-0.22075838620810864,-0.08830473572015762,0.410498687664042,0.5464679598808289
cause_flip,1.1289561986923218,1.3537888526916504,1905,1905,0.08897825330495834,-0.35789224476224135,-0.02769363671541214,0.34488188976377954,1.0929359197616577
cause_flip_x5,3.34407901763916,4.0083417892456055,1905,1905,0.20472835004329681,-0.21567473963592768,-0.015139288268983364,0.4152230971128609,3.2788078784942627
distractors_last_shift_plus_delta,0.08247938752174377,0.10288184136152267,0,1905,0.08247938752174377,nan,nan,nan,0.0
distractors_shift_plus_delta,0.051962368190288544,0.06635120511054993,0,1905,0.051962368190288544,nan,nan,nan,0.0
target_zero,0.7831205725669861,0.9329469203948975,0,1905,0.7831205725669861,nan,nan,nan,0.0
target_shift_plus_delta,4.99540901184082,4.998471736907959,0,1905,4.99540901184082,nan,nan,nan,0.0
