delta,expected_mean,pred_mean,pred_abs_mean,response_ratio,ire_mae,ire_rmse,response_slope,response_corr,num_windows
-5.0,-5.000384441036948,0.014275255613029003,0.05409219115972519,-0.0028548316197201614,5.014659404754639,5.015110492706299,-0.0028548312839120626,nan,1905
-4.0,-4.000307552829558,0.010782831348478794,0.04649841785430908,-0.002695500584911707,4.011090278625488,4.0115275382995605,-0.002695501083508134,nan,1905
-3.0,-3.000230664622169,0.004969650413841009,0.03454412892460823,-0.0016564227785688796,3.005200147628784,3.0055575370788574,-0.0016564229736104608,nan,1905
-2.0,-2.000153776414779,0.0010502738878130913,0.01990838162600994,-0.0005250965701725587,2.001204013824463,2.001405954360962,-0.0005250966642051935,nan,1905
-1.0,-1.0000768882073896,-0.0019678615499287844,0.011971951462328434,0.001967710256214522,0.9981090426445007,0.9982836842536926,0.0019677109085023403,nan,1905
-0.5,-0.5000384441036948,-0.0008774668094702065,0.006742894649505615,0.0017547986956143776,0.4991609752178192,0.49930498003959656,0.0017547989264130592,nan,1905
0.5,0.5000384441036948,-0.0016307547921314836,0.006970791146159172,-0.0032612588319175474,0.50166916847229,0.501811683177948,-0.003261259524151683,nan,1905
1.0,1.0000768882073896,-0.004453842993825674,0.013175631873309612,-0.004453500572150073,1.0045307874679565,1.004709005355835,-0.00445350119844079,nan,1905
2.0,2.000153776414779,-0.0006893066456541419,0.028230221942067146,-0.0003446268250882715,2.000843048095703,2.0012171268463135,-0.0003446269256528467,nan,1905
3.0,3.000230664622169,0.012882241047918797,0.040925633162260056,0.0042937502105495975,2.9873483180999756,2.987813949584961,0.00429375097155571,nan,1905
4.0,4.000307552829558,0.0197459626942873,0.052395258098840714,0.004936111144834423,3.9805614948272705,3.981065273284912,0.004936112090945244,nan,1905
5.0,5.000384441036948,0.018854312598705292,0.05754755064845085,0.0037705726071724606,4.981529712677002,4.9820170402526855,0.0037705725990235806,nan,1905
