model,intervention,true_change_abs_mean,pred_change_abs_mean,ire_mae,ire_rmse,response_slope,response_corr,sign_accuracy_on_nonzero_true,true_change_rms,pred_change_rms,causal_gain_scaled,num_windows,num_nonzero_true,num_batches,num_test_windows
iTransformer,cause_last_shift_plus_delta,5.000384329247662,0.03236145109642209,4.99386592674756,4.99404813460291,0.0013035916490480304,nan,0.5538057742782152,5.0003843112742015,0.043162141195547364,1.0000768880220405,1905,1905,30,1905
iTransformer,cause_shift_plus_delta,5.000384329247662,2.0514430571103034e-06,5.000384489444923,5.0003845483479195,-4.4715488201063636e-08,nan,0.33700787401574805,5.0003843112742015,7.020788234757355e-06,1.0000768880220405,1905,1905,30,1905
iTransformer,cause_zero,0.8542916966235544,0.02978177946696444,0.8574815985411797,1.0004969706118987,-0.002299112267792225,-0.056998166622877176,0.49763779527559054,0.997401709167502,0.040120716716200724,1.0000768880220405,1905,1905,30,1905
iTransformer,cause_flip,1.7085833932471088,0.029249300794025733,1.7063957274429442,1.9915071603797851,0.0018406056333333254,0.09501256870133565,0.558005249343832,1.994803418335004,0.03883929848668181,1.0000768880220405,1905,1905,30,1905
iTransformer,cause_flip_x5,5.125750091632833,0.029249215313768763,5.123481225842253,5.980863722838493,0.0006135232397355139,0.09501105259673438,0.558005249343832,5.984410238943553,0.03883912924960092,1.0000768880220405,1905,1905,30,1905
iTransformer,distractors_shift_plus_delta,0.0,5.5072384243562155e-06,5.5072384243562155e-06,1.252249712216739e-05,nan,nan,nan,0.0,1.252249712216739e-05,1.0000768880220405,1905,0,30,1905
iTransformer,noncause_1to7_shift_plus_delta,0.0,3.3014480836122366e-06,3.3014480836122366e-06,9.329200840789297e-06,nan,nan,nan,0.0,9.329200840789297e-06,1.0000768880220405,1905,0,30,1905
iTransformer,target_zero,0.0,0.86989793752435,0.86989793752435,1.0181777268873755,nan,nan,nan,0.0,1.0181777268873755,1.0000768880220405,1905,0,30,1905
iTransformer,target_shift_plus_delta,0.0,5.000000136167672,5.000000136167672,5.000000153789368,nan,nan,nan,0.0,5.000000153789368,1.0000768880220405,1905,0,30,1905
iTransformer_CRR_FT01,cause_last_shift_plus_delta,5.000384329247662,4.149043149772904,0.8714095538682513,1.0023108372758422,0.8297447562217712,nan,1.0,5.0003843112742015,4.182631296923792,1.0000768880220405,1905,1905,30,1905
iTransformer_CRR_FT01,cause_shift_plus_delta,5.000384329247662,6.990027161720857e-06,5.000383464182455,5.000383491127199,1.722226699030216e-07,nan,0.5364829396325459,5.0003843112742015,2.2488239992846392e-05,1.0000768880220405,1905,1905,30,1905
iTransformer_CRR_FT01,cause_zero,0.8542916966235544,0.293343701700526,0.7731400076798567,0.925882679456369,0.13461482524871826,0.3721359177388075,0.631496062992126,0.997401709167502,0.36094451667583144,1.0000768880220405,1905,1905,30,1905
iTransformer_CRR_FT01,cause_flip,1.7085833932471088,0.30849828494815373,1.5946734090489665,1.8776549427792346,0.07498214393854141,0.3955171111565063,0.6461942257217848,1.994803418335004,0.378274276565517,1.0000768880220405,1905,1905,30,1905
iTransformer_CRR_FT01,cause_flip_x5,5.125750091632833,0.3084979860801396,4.999933029535248,5.845171334370756,0.02499401569366455,0.39551661487637585,0.6461942257217848,5.984410238943553,0.378274232065455,1.0000768880220405,1905,1905,30,1905
iTransformer_CRR_FT01,distractors_shift_plus_delta,0.0,2.123175624005125e-05,2.123175624005125e-05,4.339824164271577e-05,nan,nan,nan,0.0,4.339824164271577e-05,1.0000768880220405,1905,0,30,1905
iTransformer_CRR_FT01,noncause_1to7_shift_plus_delta,0.0,1.2336652774823306e-05,1.2336652774823306e-05,3.0734805213347165e-05,nan,nan,nan,0.0,3.0734805213347165e-05,1.0000768880220405,1905,0,30,1905
iTransformer_CRR_FT01,target_zero,0.0,0.7446404925168656,0.7446404925168656,0.9051938188289955,nan,nan,nan,0.0,0.9051938188289955,1.0000768880220405,1905,0,30,1905
iTransformer_CRR_FT01,target_shift_plus_delta,0.0,5.000001113370961,5.000001113370961,5.000001076525475,nan,nan,nan,0.0,5.000001076525475,1.0000768880220405,1905,0,30,1905
iTransformer_CRR_FT03,cause_last_shift_plus_delta,5.000384329247662,4.205088537821933,0.8158729523185669,0.944613699043674,0.84095299243927,nan,1.0,5.0003843112742015,4.235866966952185,1.0000768880220405,1905,1905,30,1905
iTransformer_CRR_FT03,cause_shift_plus_delta,5.000384329247662,7.4861957410501995e-06,5.000383880695333,5.000383843534131,1.0140004746972409e-07,nan,0.5265091863517061,5.0003843112742015,2.354703158245564e-05,1.0000768880220405,1905,1905,30,1905
iTransformer_CRR_FT03,cause_zero,0.8542916966235544,0.32753410089047247,0.7716182698727906,0.9177288301348074,0.1543348729610443,0.39173829513712505,0.6498687664041994,0.997401709167502,0.3930443320794959,1.0000768880220405,1905,1905,30,1905
iTransformer_CRR_FT03,cause_flip,1.7085833932471088,0.34546131724760604,1.5894348785320291,1.8634401395632605,0.08502296358346939,0.41163619411008356,0.6577427821522309,1.994803418335004,0.41209476596566763,1.0000768880220405,1905,1905,30,1905
iTransformer_CRR_FT03,cause_flip_x5,5.125750091632833,0.3454608351539752,4.99108253939571,5.826923081543136,0.028340909630060196,0.41163546098875,0.6577427821522309,5.984410238943553,0.41209432559716236,1.0000768880220405,1905,1905,30,1905
iTransformer_CRR_FT03,distractors_shift_plus_delta,0.0,1.989884932679454e-05,1.989884932679454e-05,4.066718699056026e-05,nan,nan,nan,0.0,4.066718699056026e-05,1.0000768880220405,1905,0,30,1905
iTransformer_CRR_FT03,noncause_1to7_shift_plus_delta,0.0,1.0795963639662334e-05,1.0795963639662334e-05,2.743027749629053e-05,nan,nan,nan,0.0,2.743027749629053e-05,1.0000768880220405,1905,0,30,1905
iTransformer_CRR_FT03,target_zero,0.0,0.6677518509191478,0.6677518509191478,0.8225111539240054,nan,nan,nan,0.0,0.8225111539240054,1.0000768880220405,1905,0,30,1905
iTransformer_CRR_FT03,target_shift_plus_delta,0.0,5.000001057301919,5.000001057301919,5.00000110856492,nan,nan,nan,0.0,5.00000110856492,1.0000768880220405,1905,0,30,1905
iTransformer_CRR,cause_last_shift_plus_delta,5.000384329247662,4.793954523842479,0.2430455605814776,0.30252622973435844,0.9587172269821167,nan,1.0,5.0003843112742015,4.7990528977868365,1.0000768880220405,1905,1905,30,1905
iTransformer_CRR,cause_shift_plus_delta,5.000384329247662,2.39288986824316e-06,5.000384321237799,5.000384292052008,1.2694727935524952e-08,nan,0.5863517060367454,5.0003843112742015,7.5065103423561414e-06,1.0000768880220405,1905,1905,30,1905
iTransformer_CRR,cause_zero,0.8542916966235544,0.09803225274473976,0.824220367992331,0.9674284727066566,0.03706299886107445,0.3038255962845328,0.6188976377952756,0.997401709167502,0.12185638807287985,1.0000768880220405,1905,1905,30,1905
iTransformer_CRR,cause_flip,1.7085833932471088,0.09028688177974831,1.6934618732121987,1.9878816394778906,0.005098551977425814,0.08977981680184427,0.5585301837270341,1.994803418335004,0.11405893360759502,1.0000768880220405,1905,1905,30,1905
iTransformer_CRR,cause_flip_x5,5.125750091632833,0.09028650556649435,5.1090696399919,5.975320457781594,0.001699388725683093,0.08977347095323227,0.5585301837270341,5.984410238943553,0.11405839024903126,1.0000768880220405,1905,1905,30,1905
iTransformer_CRR,distractors_shift_plus_delta,0.0,8.124452367855183e-06,8.124452367855183e-06,1.5539254226867187e-05,nan,nan,nan,0.0,1.5539254226867187e-05,1.0000768880220405,1905,0,30,1905
iTransformer_CRR,noncause_1to7_shift_plus_delta,0.0,4.882463241812438e-06,4.882463241812438e-06,1.1320546041781232e-05,nan,nan,nan,0.0,1.1320546041781232e-05,1.0000768880220405,1905,0,30,1905
iTransformer_CRR,target_zero,0.0,0.41279401403712473,0.41279401403712473,0.4892857541972147,nan,nan,nan,0.0,0.4892857541972147,1.0000768880220405,1905,0,30,1905
iTransformer_CRR,target_shift_plus_delta,0.0,4.999999911891507,4.999999911891507,5.0000000192236715,nan,nan,nan,0.0,5.0000000192236715,1.0000768880220405,1905,0,30,1905
