intervention,input_mpd_mean,mpd_all_mean,mpd_target_mean,rmsd_all,rmsd_target
cause_last_shift_plus_delta,0.0007086168043315411,0.11172342300415039,0.04421248286962509,0.46679481863975525,0.06843052059412003
cause_shift_plus_delta,0.2380952388048172,0.25686317682266235,0.03995577245950699,1.0946134328842163,0.05460967496037483
cause_zero,0.04068312793970108,0.05411496013402939,0.04079243913292885,0.1975073665380478,0.05557374283671379
cause_flip,0.08136625587940216,0.09184016287326813,0.03834830969572067,0.3926856517791748,0.05409054830670357
cause_flip_x5,0.24409884214401245,0.23360800743103027,0.04163908213376999,1.1534905433654785,0.05672202631831169
distractors_last_shift_plus_delta,0.013463718816637993,1.2982622385025024,0.13054603338241577,1.5824285745620728,0.19985581934452057
distractors_shift_plus_delta,4.523809909820557,4.528347969055176,0.018649239093065262,4.759047031402588,0.02329295314848423
target_zero,0.04068553075194359,0.054269980639219284,0.7640100121498108,0.19718971848487854,0.890785813331604
target_shift_plus_delta,0.2380952388048172,0.2569599449634552,5.012528896331787,1.094727873802185,5.0142388343811035
