model,intervention,true_change_abs_mean,pred_change_abs_mean,ire_mae,ire_rmse,response_slope,response_corr,sign_accuracy_on_nonzero_true,true_change_rms,pred_change_rms,causal_gain_scaled,num_windows,num_nonzero_true,num_batches,num_test_windows
DLinear,cause_shift_plus_delta,5.000384329247662,0.0,5.000384329247662,5.0003843112742015,0.0,nan,0.0,5.0003843112742015,0.0,1.0000768880220405,1905,1905,30,1905
DLinear,cause_zero,0.8542916966235544,0.0,0.8542916966235544,0.997401709167502,0.0,nan,0.0,0.997401709167502,0.0,1.0000768880220405,1905,1905,30,1905
DLinear,cause_flip,1.7085833932471088,0.0,1.7085833932471088,1.994803418335004,0.0,nan,0.0,1.994803418335004,0.0,1.0000768880220405,1905,1905,30,1905
DLinear,cause_flip_x5,5.125750091632833,0.0,5.125750091632833,5.984410238943553,0.0,nan,0.0,5.984410238943553,0.0,1.0000768880220405,1905,1905,30,1905
DLinear,distractors_shift_plus_delta,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,1.0000768880220405,1905,0,30,1905
DLinear,noncause_1to7_shift_plus_delta,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,1.0000768880220405,1905,0,30,1905
DLinear,target_zero,0.0,0.6481381714187582,0.6481381714187582,0.7593900746103618,nan,nan,nan,0.0,0.7593900746103618,1.0000768880220405,1905,0,30,1905
DLinear,target_shift_plus_delta,0.0,4.7142330139640745,4.7142330139640745,4.7142329011834185,nan,nan,nan,0.0,4.7142329011834185,1.0000768880220405,1905,0,30,1905
PatchTST,cause_shift_plus_delta,5.000384329247662,0.0,5.000384329247662,5.0003843112742015,0.0,nan,0.0,5.0003843112742015,0.0,1.0000768880220405,1905,1905,30,1905
PatchTST,cause_zero,0.8542916966235544,0.0,0.8542916966235544,0.997401709167502,0.0,nan,0.0,0.997401709167502,0.0,1.0000768880220405,1905,1905,30,1905
PatchTST,cause_flip,1.7085833932471088,0.0,1.7085833932471088,1.994803418335004,0.0,nan,0.0,1.994803418335004,0.0,1.0000768880220405,1905,1905,30,1905
PatchTST,cause_flip_x5,5.125750091632833,0.0,5.125750091632833,5.984410238943553,0.0,nan,0.0,5.984410238943553,0.0,1.0000768880220405,1905,1905,30,1905
PatchTST,distractors_shift_plus_delta,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,1.0000768880220405,1905,0,30,1905
PatchTST,noncause_1to7_shift_plus_delta,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,1.0000768880220405,1905,0,30,1905
PatchTST,target_zero,0.0,0.7985873905692513,0.7985873905692513,0.9310538573639455,nan,nan,nan,0.0,0.9310538573639455,1.0000768880220405,1905,0,30,1905
PatchTST,target_shift_plus_delta,0.0,5.000000024029589,5.000000024029589,5.0000000512631235,nan,nan,nan,0.0,5.0000000512631235,1.0000768880220405,1905,0,30,1905
iTransformer,cause_shift_plus_delta,5.000384329247662,2.0514430571103034e-06,5.000384489444923,5.0003845483479195,-4.4715488201063636e-08,nan,0.33700787401574805,5.0003843112742015,7.020788234757355e-06,1.0000768880220405,1905,1905,30,1905
iTransformer,cause_zero,0.8542916966235544,0.02978177946696444,0.8574815985411797,1.0004969706118987,-0.002299112267792225,-0.056998166622877176,0.49763779527559054,0.997401709167502,0.040120716716200724,1.0000768880220405,1905,1905,30,1905
iTransformer,cause_flip,1.7085833932471088,0.029249300794025733,1.7063957274429442,1.9915071603797851,0.0018406056333333254,0.09501256870133565,0.558005249343832,1.994803418335004,0.03883929848668181,1.0000768880220405,1905,1905,30,1905
iTransformer,cause_flip_x5,5.125750091632833,0.029249215313768763,5.123481225842253,5.980863722838493,0.0006135232397355139,0.09501105259673438,0.558005249343832,5.984410238943553,0.03883912924960092,1.0000768880220405,1905,1905,30,1905
iTransformer,distractors_shift_plus_delta,0.0,5.5072384243562155e-06,5.5072384243562155e-06,1.252249712216739e-05,nan,nan,nan,0.0,1.252249712216739e-05,1.0000768880220405,1905,0,30,1905
iTransformer,noncause_1to7_shift_plus_delta,0.0,3.3014480836122366e-06,3.3014480836122366e-06,9.329200840789297e-06,nan,nan,nan,0.0,9.329200840789297e-06,1.0000768880220405,1905,0,30,1905
iTransformer,target_zero,0.0,0.86989793752435,0.86989793752435,1.0181777268873755,nan,nan,nan,0.0,1.0181777268873755,1.0000768880220405,1905,0,30,1905
iTransformer,target_shift_plus_delta,0.0,5.000000136167672,5.000000136167672,5.000000153789368,nan,nan,nan,0.0,5.000000153789368,1.0000768880220405,1905,0,30,1905
Crossformer,cause_shift_plus_delta,5.000384329247662,0.004353806016639148,4.9960571929851545,4.996057881717146,0.0008653475088067353,nan,0.973753280839895,5.0003843112742015,0.004983556984928758,1.0000768880220405,1905,1905,30,1905
