delta,expected_mean,pred_mean,pred_abs_mean,response_ratio,ire_mae,ire_rmse,response_slope,response_corr,num_windows
-5.0,-3.2981061935424805,-0.07172556966543198,0.11978941410779953,0.021747501583140923,3.2263801097869873,3.2291812896728516,0.02174750156700611,nan,1905
-4.0,-2.6384847164154053,-0.07498671114444733,0.10583139210939407,0.028420369721270485,2.56349778175354,2.5658373832702637,0.028420371934771538,0.060357298410117804,1905
-3.0,-1.97886323928833,-0.06731720268726349,0.08677373081445694,0.03401811775101404,1.9115461111068726,1.9135092496871948,0.03401811048388481,-0.001183565441080562,1905
-2.0,-1.3192423582077026,-0.052642226219177246,0.05995504558086395,0.03990337779230798,1.2666000127792358,1.2676866054534912,0.03990337625145912,0.11681641215306056,1905
-1.0,-0.6596211791038513,-0.028286585584282875,0.03102364018559456,0.04288307665122652,0.6313346028327942,0.6318699717521667,0.042883072048425674,0.008051831767092007,1905
-0.5,-0.32981058955192566,-0.014406660571694374,0.015856444835662842,0.043681619171982884,0.31540393829345703,0.3157791793346405,0.04368162155151367,0.016509740863867004,1905
0.5,0.32981058955192566,0.014943542890250683,0.016217080876231194,0.04530946962786336,0.3148670196533203,0.3152485191822052,0.04530946537852287,-0.022541060271170824,1905
1.0,0.6596211791038513,0.02830612286925316,0.030220240354537964,0.042912695598569646,0.6313149929046631,0.6317320466041565,0.042912691831588745,-0.03610711137437746,1905
2.0,1.3192423582077026,0.04747625067830086,0.05707867816090584,0.035987512364901005,1.271765947341919,1.2726868391036987,0.03598751500248909,0.035455347922211965,1905
3.0,1.97886323928833,0.057745400816202164,0.08296909928321838,0.02918109734403347,1.921118140220642,1.9229989051818848,0.029181092977523804,-0.011402627486244632,1905
4.0,2.6384847164154053,0.061687808483839035,0.10258760303258896,0.023380013573717762,2.576796770095825,2.5793581008911133,0.023380016908049583,0.041549346850563294,1905
5.0,3.2981061935424805,0.053587641566991806,0.1130870133638382,0.01624800367917613,3.2445178031921387,3.247300148010254,0.016248006373643875,nan,1905
