delta,expected_mean,pred_mean,pred_abs_mean,response_ratio,ire_mae,ire_rmse,response_slope,response_corr,num_windows
-5.0,-4.785552483505698,-0.09266750514507294,0.09266750514507294,0.019364013970062776,4.692884922027588,4.692994594573975,0.01936401054263115,nan,2785
-4.0,-3.8284419868045583,-0.08013023436069489,0.08013023436069489,0.02093024646497942,3.748311996459961,3.7484018802642822,0.020930247381329536,nan,2785
-3.0,-2.871331490103419,-0.06456601619720459,0.06456601619720459,0.02248643753594576,2.806765556335449,2.8068339824676514,0.02248643897473812,nan,2785
-2.0,-1.9142209934022791,-0.0457785502076149,0.0457785502076149,0.023914976570312017,1.8684425354003906,1.8684896230697632,0.02391497790813446,nan,2785
-1.0,-0.9571104967011396,-0.023910023272037506,0.023910023272037506,0.024981465937786572,0.933200478553772,0.9332259893417358,0.024981465190649033,nan,2785
-0.5,-0.4785552483505698,-0.012088432908058167,0.012088432908058167,0.025260266081551113,0.4664668142795563,0.46648019552230835,0.02526026777923107,nan,2785
0.5,0.4785552483505698,0.012037502601742744,0.012037944048643112,0.02515384094779495,0.46651774644851685,0.4665316343307495,0.02515384368598461,nan,2785
1.0,0.9571104967011396,0.02372138388454914,0.023724302649497986,0.02478437334697439,0.9333891272544861,0.9334163665771484,0.024784374982118607,nan,2785
2.0,1.9142209934022791,0.04521999508142471,0.045232854783535004,0.02362318417637456,1.869001030921936,1.869051456451416,0.023623185232281685,nan,2785
3.0,2.871331490103419,0.06361379474401474,0.06364120543003082,0.02215480691214915,2.8077175617218018,2.8077871799468994,0.022154806181788445,nan,2785
4.0,3.8284419868045583,0.07882271707057953,0.07886697351932526,0.020588719208037308,3.749619483947754,3.749706268310547,0.020588720217347145,nan,2785
5.0,4.785552483505698,0.09110357612371445,0.0911700502038002,0.019037211782280097,4.694449424743652,4.69455099105835,0.019037211313843727,nan,2785
