intervention,input_mpd_mean,mpd_all_mean,mpd_target_mean,rmsd_all,rmsd_target
cause_last_shift_plus_delta,0.0024801588151603937,0.07535399496555328,0.18552394211292267,0.19245600700378418,0.2595342695713043
cause_shift_plus_delta,0.2380952388048172,0.2925361394882202,0.22806623578071594,1.0953396558761597,0.3228716552257538
cause_zero,0.03956945985555649,0.08433756232261658,0.22039349377155304,0.21580804884433746,0.30975961685180664
cause_flip,0.07913891971111298,0.11777793616056442,0.11170507222414017,0.39085954427719116,0.14800696074962616
cause_flip_x5,0.23741690814495087,0.25782179832458496,0.22653938829898834,1.09040105342865,0.3157055974006653
distractors_last_shift_plus_delta,0.0471230149269104,1.320172905921936,0.09388463944196701,1.5647077560424805,0.12251720577478409
distractors_shift_plus_delta,4.523809432983398,4.521564960479736,0.06178390607237816,4.749011516571045,0.08593364804983139
target_zero,0.03963688760995865,0.08384474366903305,0.7392978668212891,0.2155635505914688,0.872671365737915
target_shift_plus_delta,0.2380952388048172,0.2916018068790436,4.98689603805542,1.0947026014328003,4.991631031036377
