delta,expected_mean,pred_mean,pred_abs_mean,response_ratio,ire_mae,ire_rmse,response_slope,response_corr,num_windows
-5.0,-5.000384441036948,-4.3914361000061035,4.3914361000061035,0.8782196952631577,0.6093620657920837,0.7158908843994141,0.8782196044921875,nan,1905
-4.0,-4.000307552829558,-3.902679920196533,3.902679920196533,0.9755949683008823,0.20725826919078827,0.2614714503288269,0.9755951166152954,nan,1905
-3.0,-3.000230664622169,-2.707504987716675,2.707504987716675,0.9024322761722194,0.3180418014526367,0.34531092643737793,0.9024324417114258,nan,1905
-2.0,-2.000153776414779,-1.8684661388397217,1.8684661388397217,0.9341612434364401,0.15112844109535217,0.20228105783462524,0.9341614246368408,nan,1905
-1.0,-1.0000768882073896,-0.9423616528511047,0.9423616528511047,0.9422892019235263,0.0990900844335556,0.12082459777593613,0.9422894716262817,nan,1905
-0.5,-0.5000384441036948,-0.41445672512054443,0.41445672512054443,0.8288497214718096,0.09956146031618118,0.12056839466094971,0.8288498520851135,nan,1905
0.5,0.5000384441036948,0.33158519864082336,0.33158519864082336,0.6631194112188329,0.16845399141311646,0.1756347268819809,0.6631195545196533,nan,1905
1.0,1.0000768882073896,0.8353888392448425,0.8353888392448425,0.8353246126327888,0.16725999116897583,0.187201127409935,0.835324764251709,nan,1905
2.0,2.000153776414779,2.0080063343048096,2.0080063343048096,1.003925977083675,0.11522867530584335,0.1608673334121704,1.003926157951355,nan,1905
3.0,3.000230664622169,3.0034828186035156,3.0034828186035156,1.0010839679827606,0.16789016127586365,0.21984408795833588,1.0010840892791748,nan,1905
4.0,4.000307552829558,3.7434608936309814,3.7434608936309814,0.9357932719405786,0.2713162302970886,0.33391982316970825,0.935793399810791,nan,1905
5.0,5.000384441036948,4.333044528961182,4.333044528961182,0.8665422789097837,0.6673397421836853,0.7607149481773376,0.8665422797203064,nan,1905
