delta,expected_mean,pred_mean,pred_abs_mean,response_ratio,ire_mae,ire_rmse,response_slope,response_corr,num_windows
-5.0,-5.069336526283337,-4.775091648101807,4.775955677032471,0.9419559390748792,0.8649008274078369,1.0809563398361206,0.9419558048248291,nan,2785
-4.0,-4.055469221026669,-4.1861252784729,4.18700647354126,1.0322172479497094,0.6289411783218384,0.8135386109352112,1.032217264175415,nan,2785
-3.0,-3.041601915770002,-3.3124516010284424,3.3133411407470703,1.0890483675244111,0.5942635536193848,0.7488018870353699,1.0890482664108276,nan,2785
-2.0,-2.0277346105133347,-2.0863187313079834,2.0882930755615234,1.028891414335438,0.5394317507743835,0.6555649042129517,1.0288915634155273,nan,2785
-1.0,-1.0138673052566674,-0.7461002469062805,0.7479608654975891,0.7358953612942477,0.36262473464012146,0.4228469133377075,0.7358955144882202,nan,2785
-0.5,-0.5069336526283337,-0.2881770133972168,0.28947415947914124,0.5684708677419337,0.23129154741764069,0.2545701265335083,0.5684709548950195,nan,2785
0.5,0.5069336526283337,0.2764647603034973,0.2779858410358429,0.5453667533612959,0.2365269511938095,0.26082611083984375,0.5453668236732483,nan,2785
1.0,1.0138673052566674,0.7092157602310181,0.7113920450210571,0.6995153671036619,0.376600444316864,0.43938472867012024,0.6995154619216919,nan,2785
2.0,2.0277346105133347,2.0229744911193848,2.0249874591827393,0.9976524938868875,0.5313073992729187,0.6520843505859375,0.9976526498794556,nan,2785
3.0,3.041601915770002,3.2664825916290283,3.2677969932556152,1.0739349468097952,0.5705532431602478,0.7153131365776062,1.0739349126815796,nan,2785
4.0,4.055469221026669,4.160816192626953,4.161699295043945,1.025976518587315,0.5870910286903381,0.773853600025177,1.0259766578674316,nan,2785
5.0,5.069336526283337,4.748818397521973,4.749429225921631,0.9367731601365283,0.8529209494590759,1.0760695934295654,0.9367731213569641,nan,2785
