intervention,input_mpd_mean,mpd_all_mean,mpd_target_mean,rmsd_all,rmsd_target
cause_last_shift_plus_delta,0.004960317630320787,0.179426372051239,0.17618831992149353,0.7854782342910767,0.26963162422180176
cause_shift_plus_delta,0.2380952388048172,0.25747764110565186,0.16914264857769012,1.0927153825759888,0.25488778948783875
cause_zero,0.040797386318445206,0.058948393911123276,0.16691209375858307,0.2189716398715973,0.2507154643535614
cause_flip,0.08159477263689041,0.09645257890224457,0.10734192281961441,0.42165425419807434,0.14042317867279053
cause_flip_x5,0.24478411674499512,0.25796887278556824,0.1684478521347046,1.2754992246627808,0.24986718595027924
distractors_last_shift_plus_delta,0.0942460298538208,2.8199918270111084,0.1897391676902771,3.4661121368408203,0.23195597529411316
distractors_shift_plus_delta,4.523809432983398,4.523654460906982,0.011144832707941532,4.754953861236572,0.02841668762266636
target_zero,0.04080982133746147,0.0587855726480484,0.822902500629425,0.21910668909549713,0.9653197526931763
target_shift_plus_delta,0.2380952388048172,0.2569424510002136,4.993740558624268,1.0932643413543701,5.002859592437744
