delta,expected_mean,pred_mean,pred_abs_mean,response_ratio,ire_mae,ire_rmse,response_slope,response_corr,num_windows
-5.0,0.17578692734241486,-0.29098910093307495,1.4941513538360596,-1.6553511989333434,0.5991355776786804,0.7241575121879578,0.8012380003929138,0.9674072611185638,1905
-4.0,-0.7351320385932922,-0.6519474983215332,1.4945999383926392,0.8868440825529298,0.42134666442871094,0.5323061347007751,0.8464752435684204,0.9633226640218389,1905
-3.0,-1.3432585000991821,-1.097672700881958,1.4746906757354736,0.8171716023393183,0.39806073904037476,0.5136533379554749,0.8714290261268616,0.9472153028360026,1905
-2.0,-1.399593472480774,-1.2782979011535645,1.3514790534973145,0.9133351407303911,0.29937776923179626,0.37200504541397095,0.9487813115119934,0.9250690269339636,1905
-1.0,-0.8810704350471497,-0.8188615441322327,0.8217942714691162,0.929393963932534,0.18808455765247345,0.22492164373397827,0.9538639783859253,0.8538864637175927,1905
-0.5,-0.4652183949947357,-0.41391515731811523,0.4141009449958801,0.8897222503912361,0.09477941691875458,0.11354181170463562,0.9026772975921631,0.7988637885561696,1905
0.5,0.4656781256198883,0.397624671459198,0.39911705255508423,0.8538616043643862,0.0801590085029602,0.09708108752965927,0.8554317355155945,0.8462895249389091,1905
1.0,0.8828610777854919,0.7825323343276978,0.789512574672699,0.8863595349458016,0.13354361057281494,0.16370999813079834,0.8886808753013611,0.9023594436353409,1905
2.0,1.4060230255126953,1.3006309270858765,1.3693431615829468,0.9250424093244217,0.22324404120445251,0.28069135546684265,0.9290752410888672,0.946917222858911,1905
3.0,1.3552757501602173,1.1997512578964233,1.5740286111831665,0.8852451301918387,0.3544154167175293,0.4396606385707855,0.9038780331611633,0.9558517057957399,1905
4.0,0.7513977289199829,0.729648768901825,1.6779779195785522,0.9710553290473493,0.4089055359363556,0.5025926828384399,0.9249175190925598,0.9626299868661606,1905
5.0,-0.15835130214691162,0.3840894401073456,1.7056331634521484,-2.425552773484639,0.6138164401054382,0.7680986523628235,0.8901746273040771,0.9615978746424104,1905
