label,variant,ci,seed,target_mse,target_mae,expected_h1,pred_h1,h1_ire,h1_slope,last_dist_false,target_zero,curve_slope,curve_corr,curve_ire,curve_ratio,path
DUET-Mix baseline,baseline,0,20260503,0.02452949993312359,0.12623289227485657,5.000384330749512,0.052557677030563354,4.998287677764893,0.00041934498585760593,0.11230190098285675,0.7881251573562622,0.003852039630320207,0.6849121405897652,2.567888838549455,0.010917151996284461,results\duet_crr_20260503\baseline_curve_ci0_20260503
DUET-Mix + RIR,rir,0,20260503,0.038389816880226135,0.13186867535114288,5.000384330749512,4.337130069732666,0.6632543802261353,0.8673592209815979,0.04715202748775482,0.3597044348716736,0.9161616504560287,0.9984724869943536,0.2534942428270976,0.8972780521947046,results\duet_crr_20260503\crr_ci0_lam005_20260503
DUET-Mix baseline,baseline,0,20260504,0.024832697585225105,0.12775449454784393,5.000384330749512,0.056847844272851944,4.981133460998535,0.0038498560898005962,0.11225774884223938,0.7776066064834595,nan,nan,nan,nan,results\duet_priority_20260504\mix_baseline_seed20260504_priority_20260504
DUET-Mix + RIR,rir,0,20260504,0.02655497007071972,0.11605150997638702,5.000384330749512,4.273811340332031,0.7266317009925842,0.8546964526176453,0.19171084463596344,0.3384357988834381,0.899712335999371,0.9982043668813555,0.30594804883003235,0.8521504618242974,results\duet_priority_20260504\mix_rir_seed20260504_priority_20260504
DUET-Mix baseline,baseline,0,20260505,0.02169862948358059,0.11963114887475967,5.000384330749512,0.05287911742925644,4.965179443359375,0.007040426135063171,0.09373598545789719,0.8003409504890442,nan,nan,nan,nan,results\duet_priority_20260504\mix_baseline_seed20260505_priority_20260504
DUET-Mix + RIR,rir,0,20260505,0.027346184477210045,0.11918219923973083,5.000384330749512,4.167102336883545,0.8417771458625793,0.8333331346511841,0.08240076899528503,0.3280065059661865,0.9124006901994814,0.996239021811322,0.2892788654814164,0.9302966293810712,results\duet_priority_20260504\mix_rir_seed20260505_priority_20260504
DUET-CI + RIR,ci_rir,1,20260503,0.02733643352985382,0.11488242447376251,5.000384330749512,4.506200790405273,0.49707379937171936,0.9011709690093994,0.07949918508529663,0.33346524834632874,0.9287445083658913,0.9985509381679724,0.24587686049441496,0.9056262683406691,results\duet_priority_20260504\ci1_rir_seed20260503_priority_20260504
