variant,seed,pred_len,all_mse,all_mae,raw_ot_mse,raw_ot_mae,semi_target_mse,semi_target_mae,curve_slope,curve_corr,curve_ire,curve_ratio,path
baseline,20260504,192,0.4906106459040823,0.45996055188373486,0.07276630219295149,0.20812478428423678,0.8375087920449341,0.6224216923655166,0.01472445499347624,0.9974267663245411,2.4349401742219925,0.01607493049547107,results\etth1_priority_20260504\baseline_seed20260504_pl192_priority_20260504
baseline,20260504,96,0.42765262203969906,0.4256533685520978,0.05607761475656077,0.18311116602661937,0.7165532944232386,0.5709635143291444,0.02062106157138948,0.9970271708050341,2.4197305565079055,0.02268996191118734,results\etth1_priority_20260504\baseline_seed20260504_pl96_priority_20260504
baseline,20260505,96,0.42423058626253685,0.4242315689294656,0.05576442267672164,0.18300157703374548,0.7099163858138609,0.5696930667299628,0.022165456705632098,0.9979524717262095,2.4160893683632216,0.023945066228644656,results\etth1_priority_20260504\baseline_seed20260505_pl96_priority_20260504
rir,20260504,192,0.4838226223665793,0.4516191565149614,0.07282531879878301,0.20711151951674828,0.8220474766402258,0.6053381598954811,0.9531129479973133,0.9993959614772174,0.3081621490418911,0.8815294226828446,results\etth1_priority_20260504\rir_seed20260504_pl192_priority_20260504
rir,20260504,96,0.42399583436428323,0.42071796670636324,0.05552166933466902,0.18161785957129825,0.7039936733417066,0.5588387693922224,0.915438775657304,0.999261278072384,0.3376196436583996,0.8381414530165486,results\etth1_priority_20260504\rir_seed20260504_pl96_priority_20260504
rir,20260505,96,0.43139783114747754,0.42603211816665587,0.05623010696407423,0.18242126779596224,0.7173809474132362,0.5689106627326751,0.9339612509366364,0.9988813320807404,0.33120880151788396,0.8389240247979554,results\etth1_priority_20260504\rir_seed20260505_pl96_priority_20260504
baseline,20260503,96,0.42823539995847526,0.42502186733544906,0.05585198371193496,0.18233653426099009,0.7166806568577216,0.5693026148295559,0.025117592109935513,0.9977217358796316,2.4087770779927573,0.02702076906442116,results\etth1_rir_side_effect_20260503\baseline_20260503
rir,20260503,96,0.4239618437508492,0.42141518314608123,0.05520411954890604,0.18107707732313055,0.7020710959682773,0.5588135934175666,0.9381972576434112,0.998991670037659,0.3262249355514844,0.8488065146884459,results\etth1_rir_side_effect_20260503\rir_20260503
