variant,pred_len,n,all_mse_mean,all_mse_std,all_mae_mean,all_mae_std,raw_ot_mse_mean,raw_ot_mse_std,raw_ot_mae_mean,raw_ot_mae_std,semi_target_mse_mean,semi_target_mse_std,semi_target_mae_mean,semi_target_mae_std,curve_slope_mean,curve_slope_std,curve_ire_mean,curve_ire_std
baseline,192,1,0.4906106459040823,0.0,0.45996055188373486,0.0,0.07276630219295149,0.0,0.20812478428423678,0.0,0.8375087920449341,0.0,0.6224216923655166,0.0,0.01472445499347624,0.0,2.4349401742219925,0.0
baseline,96,3,0.4267062027535704,0.0021636578481038084,0.4249689349390042,0.0007123762493754933,0.05589800704840579,0.00016158876923666623,0.18281642577378499,0.0004191948650439373,0.7143834456982737,0.0038691114361862427,0.5699863986295544,0.0008684350807180773,0.02263470346231903,0.0022846971593660226,2.414865667621295,0.005578329097928636
rir,192,1,0.4838226223665793,0.0,0.4516191565149614,0.0,0.07282531879878301,0.0,0.20711151951674828,0.0,0.8220474766402258,0.0,0.6053381598954811,0.0,0.9531129479973133,0.0,0.3081621490418911,0.0
rir,96,3,0.42645183642087,0.00428339079669047,0.4227217560063668,0.002887975227587425,0.055651965282549766,0.0005252573840951528,0.18170540156346368,0.0006763576769040821,0.70781523890774,0.008339733829583343,0.5621876751808214,0.00582229161707054,0.9291990947457839,0.012103541806741844,0.3316844602425893,0.005712226503495887
