label,n,target_mse_mean,target_mse_std,target_mae_mean,target_mae_std,pred_h1_mean,pred_h1_std,h1_ire_mean,h1_ire_std,h1_slope_mean,h1_slope_std,last_dist_false_mean,last_dist_false_std,target_zero_mean,target_zero_std,curve_slope_mean,curve_slope_std,curve_ire_mean,curve_ire_std
DUET-CI + RIR,1,0.02733643352985382,0.0,0.11488242447376251,0.0,4.506200790405273,0.0,0.49707379937171936,0.0,0.9011709690093994,0.0,0.07949918508529663,0.0,0.33346524834632874,0.0,0.9287445083658913,0.0,0.24587686049441496,0.0
DUET-Mix + RIR,3,0.030763657142718632,0.006616285915507645,0.12236746152242024,0.008375864252734564,4.259347915649414,0.08593166165398716,0.743887742360433,0.09050371641754755,0.8517962694168091,0.01719743977137303,0.1070878803730011,0.07537508212237067,0.34204891324043274,0.016154894637287753,0.9094248922182937,0.008618962625637338,0.28290705237951547,0.026801127638637633
DUET-Mix baseline,3,0.02368694233397643,0.0017285899448240714,0.1245395118991534,0.004318314376434011,0.054094879577557244,0.002389548480912715,4.981533527374268,0.016557742484753717,0.0037698757369071245,0.0033112650964137627,0.1060985450943311,0.010706313461045737,0.7886909047762553,0.011377726132601719,0.003852039630320207,0.0,2.567888838549455,0.0
