model,scope,delta,expected_mean,pred_mean,pred_abs_mean,ire_mae,ire_rmse,response_ratio,response_slope,response_corr,sign_accuracy_on_nonzero_true
AR_Y_last,full,-5.0,-5.0003844401102,0.0,0.0,5.0003844401102,5.000384440110203,-0.0,0.0,nan,0.0
AR_Y_last,full,-4.0,-4.000307552088161,0.0,0.0,4.000307552088161,4.000307552088161,-0.0,0.0,nan,0.0
AR_Y_last,full,-3.0,-3.0002306640661223,0.0,0.0,3.0002306640661223,3.000230664066121,-0.0,0.0,nan,0.0
AR_Y_last,full,-2.0,-2.0001537760440806,0.0,0.0,2.0001537760440806,2.0001537760440806,-0.0,0.0,nan,0.0
AR_Y_last,full,-1.0,-1.0000768880220403,0.0,0.0,1.0000768880220403,1.0000768880220403,-0.0,0.0,nan,0.0
AR_Y_last,full,-0.5,-0.5000384440110202,0.0,0.0,0.5000384440110202,0.5000384440110202,-0.0,0.0,nan,0.0
AR_Y_last,full,0.5,0.5000384440110202,0.0,0.0,0.5000384440110202,0.5000384440110202,0.0,0.0,nan,0.0
AR_Y_last,full,1.0,1.0000768880220403,0.0,0.0,1.0000768880220403,1.0000768880220403,0.0,0.0,nan,0.0
AR_Y_last,full,2.0,2.0001537760440806,0.0,0.0,2.0001537760440806,2.0001537760440806,0.0,0.0,nan,0.0
AR_Y_last,full,3.0,3.0002306640661223,0.0,0.0,3.0002306640661223,3.000230664066121,0.0,0.0,nan,0.0
AR_Y_last,full,4.0,4.000307552088161,0.0,0.0,4.000307552088161,4.000307552088161,0.0,0.0,nan,0.0
AR_Y_last,full,5.0,5.0003844401102,0.0,0.0,5.0003844401102,5.000384440110203,0.0,0.0,nan,0.0
AR_Y_last,small,-1.0,-1.0000768880220403,0.0,0.0,1.0000768880220403,1.0000768880220403,-0.0,0.0,nan,0.0
AR_Y_last,small,-0.5,-0.5000384440110202,0.0,0.0,0.5000384440110202,0.5000384440110202,-0.0,0.0,nan,0.0
AR_Y_last,small,-0.25,-0.2500192220055101,0.0,0.0,0.2500192220055101,0.2500192220055101,-0.0,0.0,nan,0.0
AR_Y_last,small,-0.1,-0.1000076888022041,0.0,0.0,0.1000076888022041,0.10000768880220406,-0.0,0.0,nan,0.0
AR_Y_last,small,0.1,0.1000076888022041,0.0,0.0,0.1000076888022041,0.10000768880220406,0.0,0.0,nan,0.0
AR_Y_last,small,0.25,0.2500192220055101,0.0,0.0,0.2500192220055101,0.2500192220055101,0.0,0.0,nan,0.0
AR_Y_last,small,0.5,0.5000384440110202,0.0,0.0,0.5000384440110202,0.5000384440110202,0.0,0.0,nan,0.0
AR_Y_last,small,1.0,1.0000768880220403,0.0,0.0,1.0000768880220403,1.0000768880220403,0.0,0.0,nan,0.0
ARX_C_last,full,-5.0,-5.0003844401102,-4.997996382573827,4.997996382573827,0.0023880575363762675,0.0023880575363762675,0.9995224252125062,0.9995224252125056,nan,1.0
ARX_C_last,full,-4.0,-4.000307552088161,-3.998397106059061,3.998397106059061,0.0019104460291008488,0.0019104460291008488,0.9995224252125057,0.9995224252125061,nan,1.0
ARX_C_last,full,-3.0,-3.0002306640661223,-2.998797829544295,2.998797829544295,0.0014328345218253711,0.0014328345218253711,0.9995224252125051,0.9995224252125061,nan,1.0
