model,ridge,h1_target_mse,h1_target_mae,coef_cause_last,full_curve_slope_from_means,full_curve_corr_from_means,full_curve_ire_mae_mean,full_curve_response_ratio_mean,full_num_delta_points,small_curve_slope_from_means,small_curve_corr_from_means,small_curve_ire_mae_mean,small_curve_response_ratio_mean,small_num_delta_points
AR_Y_last,1e-06,0.018291659450799753,0.10957956431347075,0.0,0.0,nan,2.583531960723604,0.0,12,0.0,nan,0.46253556071019364,0.0,8
ARX_C_last,1e-06,0.0009938547358293549,0.025138175411275634,0.9995992765147653,0.9995224252125058,1.0,0.0012338297271276193,0.9995224252125058,12,0.9995224252125054,1.0,0.00022089532211477927,0.9995224252125057,8
ARX_CY_last,1e-06,0.0009931259971990491,0.025121846631963107,1.0036698736338225,1.0035927093754646,1.0,0.00928187949710352,1.0035927093754644,12,1.0035927093754642,1.0,0.0016617558454491833,1.0035927093754644,8
VARX_all_last,1e-06,0.00100870835238373,0.025270110165978407,1.003953241536411,1.0038760554921307,0.9999999999999997,0.010013913245456961,1.0038760554921302,12,1.0038760554921304,1.0,0.0017928135003963301,1.0038760554921304,8
