model,variant,label,n,target_mse_mean,target_mse_std,target_mae_mean,target_mae_std,pred_h1_abs_mean_mean,pred_h1_abs_mean_std,pred_h1_signed_mean_mean,pred_h1_signed_mean_std,h1_ire_mean,h1_ire_std,h1_slope_mean,h1_slope_std,h1_sign_accuracy_mean,h1_sign_accuracy_std,h1_response_ge_20pct_mean,h1_response_ge_20pct_std,target_zero_mpd_mean,target_zero_mpd_std
iTransformer,ft01,iTransformer + ft01,3,0.0838662944892712,0.013801520770431088,0.22990726449810125,0.021461366335338492,4.76629535344642,0.018565375616256947,4.766295360163023,0.01856539775837542,0.28965735748371113,0.003654193396336993,0.9531858154280165,0.003712793883668742,1.0,0.0,1.0,0.0,0.6405406638184662,0.041140396028632314
iTransformer,ft03,iTransformer + ft03,3,0.1439440382086664,0.01550705227065545,0.3081519141632463,0.021211775207270644,4.780939332122669,0.03562503147541938,4.780939329744741,0.035625044151324316,0.2758327298902777,0.021462933294576516,0.9561143837342283,0.007124459279345217,1.0,0.0,1.0,0.0,0.45046489812362017,0.037591627216468526
