intervention,input_mpd_mean,mpd_all_mean,mpd_target_mean,rmsd_all,rmsd_target
cause_last_shift_plus_delta,0.0024801588151603937,0.1328202188014984,0.13564343750476837,0.5646868944168091,0.1950952112674713
cause_shift_plus_delta,0.2380952388048172,0.26267126202583313,0.1748017817735672,1.0957138538360596,0.23712962865829468
cause_zero,0.040683623403310776,0.06063270568847656,0.17257185280323029,0.20675542950630188,0.23174403607845306
cause_flip,0.08136724680662155,0.09416890889406204,0.06825803220272064,0.39208200573921204,0.08642560243606567
cause_flip_x5,0.244101881980896,0.24432845413684845,0.17128178477287292,1.143918752670288,0.22962263226509094
distractors_last_shift_plus_delta,0.0471230149269104,1.2478969097137451,0.17225778102874756,1.4843538999557495,0.21837550401687622
distractors_shift_plus_delta,4.523809432983398,4.522336483001709,0.014587365090847015,4.753218650817871,0.02844126708805561
target_zero,0.04069755598902702,0.060571204870939255,0.7718861699104309,0.20635001361370087,0.8993115425109863
target_shift_plus_delta,0.2380952388048172,0.26257961988449097,5.011918544769287,1.0961109399795532,5.014249801635742
