intervention,ire_mae,ire_rmse,num_nonzero_true,num_windows,pred_change_abs_mean,response_corr,response_slope,sign_accuracy_on_nonzero_true,true_change_abs_mean
cause_last_shift_plus_delta,4.965179443359375,4.965554714202881,1905,1905,0.05287911742925644,nan,0.007040426135063171,0.7664041994750657,5.000384330749512
cause_shift_plus_delta,4.971911907196045,4.972533702850342,1905,1905,0.060845233500003815,nan,0.005694044753909111,0.6325459317585301,5.000384330749512
cause_zero,0.8749004006385803,1.0110317468643188,1905,1905,0.05949601158499718,-0.13298843388602377,-0.010401168838143349,0.46981627296587924,0.8542916774749756
cause_flip,1.7020059823989868,1.9842671155929565,1905,1905,0.023098012432456017,0.40028320948811164,0.005370656959712505,0.6020997375328084,1.7085833549499512
cause_flip_x5,5.143242359161377,5.993504047393799,1905,1905,0.060094837099313736,-0.11108879919975816,-0.0014300161274150014,0.4818897637795276,5.1257500648498535
distractors_last_shift_plus_delta,0.09373598545789719,0.1162543073296547,0,1905,0.09373598545789719,nan,nan,nan,0.0
distractors_shift_plus_delta,0.008670142851769924,0.013040867634117603,0,1905,0.008670142851769924,nan,nan,nan,0.0
target_zero,0.8003409504890442,0.9369302988052368,0,1905,0.8003409504890442,nan,nan,nan,0.0
target_shift_plus_delta,5.007748126983643,5.0081586837768555,0,1905,5.007748126983643,nan,nan,nan,0.0
