intervention,ire_mae,ire_rmse,num_nonzero_true,num_windows,pred_change_abs_mean,response_corr,response_slope,sign_accuracy_on_nonzero_true,true_change_abs_mean
cause_last_shift_plus_delta,0.5611476898193359,0.7100000381469727,1905,1905,1.5937310457229614,0.9540201857866757,0.8712605237960815,0.9028871391076115,1.7431809902191162
cause_shift_plus_delta,1.0544860363006592,1.2357085943222046,1905,1905,0.7726349830627441,0.8834534088353111,0.4180682301521301,0.8939632545931758,1.7431809902191162
cause_zero,0.37151578068733215,0.4626031816005707,1905,1905,0.7922765612602234,0.8897081343025979,0.8618358969688416,0.8913385826771654,0.8704174160957336
cause_flip,1.3421454429626465,1.5505367517471313,1905,1905,0.534092128276825,0.7408974612622221,0.2534981071949005,0.7548556430446194,1.7408325672149658
cause_flip_x5,1.1964548826217651,1.3657259941101074,1905,1905,0.8072428107261658,0.4804970732789855,0.3076496422290802,0.7217847769028871,1.277471899986267
distractors_last_shift_plus_delta,0.18696698546409607,0.23143689334392548,0,1905,0.18696698546409607,nan,nan,nan,0.0
distractors_shift_plus_delta,0.08987847715616226,0.11302217841148376,0,1905,0.08987847715616226,nan,nan,nan,0.0
target_zero,0.5299387574195862,0.6367477774620056,0,1905,0.5299387574195862,nan,nan,nan,0.0
target_shift_plus_delta,4.988699913024902,5.048823833465576,0,1905,4.988699913024902,nan,nan,nan,0.0
