model,variant,label,n,target_mse_mean,target_mse_std,target_mae_mean,target_mae_std,pred_h1_abs_mean_mean,pred_h1_abs_mean_std,pred_h1_signed_mean_mean,pred_h1_signed_mean_std,h1_ire_mean,h1_ire_std,h1_slope_mean,h1_slope_std,h1_sign_accuracy_mean,h1_sign_accuracy_std,h1_response_ge_20pct_mean,h1_response_ge_20pct_std,target_zero_mpd_mean,target_zero_mpd_std
Crossformer,baseline,Crossformer,3,0.013184230798324714,0.0010380033617516245,0.09150462635893555,0.003647792728320487,0.0012090298994945417,0.0003860995151510865,-0.00016347350502160174,0.0014831732545207675,5.000547818561865,0.0014831549829210594,-3.269218834115595e-05,0.0002966118538933995,0.3884514435695538,0.5082511638229468,0.0,0.0,0.8816655256616788,0.029037822031597386
DLinear,baseline,DLinear,3,0.5508964416201312,0.00236455687599584,0.6251850701101531,0.0014795365909095074,0.0,0.0,0.0,0.0,5.000384329247662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6487447182963214,0.0015465265314222358
PatchTST,baseline,PatchTST,3,0.20488309223334134,0.04309090913865078,0.3439464737076424,0.03428053180993769,0.0,0.0,0.0,0.0,5.000384329247662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8184626641861723,0.01106313798640994
TimeMixer,baseline,TimeMixer,3,0.00864308730754257,0.0005111922126651766,0.07404143772030683,0.0022325445709463813,0.0,0.0,0.0,0.0,5.000384329247662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8563068219682989,0.008519315383293957
iTransformer,baseline,iTransformer,3,0.0901985802014947,0.02527506835771459,0.23232045010944677,0.03349726362518779,0.026617629311111866,0.004503441187058397,-0.007433482067054911,0.018648952507719717,5.007817842578637,0.018648908369483807,-0.0014865821571489798,0.003729503867977703,0.40717410323709535,0.2729862365381577,0.0,0.0,0.8822016257939377,0.010186429719915058
